Date,Open,High,Low,Close,Adj Close,Volume
1999-12-27,14.218750,14.468750,14.000000,14.468750,14.468750,1765600
2000-01-03,14.968750,16.406250,14.000000,16.250000,16.250000,42370800
2000-01-10,16.750000,20.281250,16.687500,20.187500,20.187500,50964800
2000-01-17,20.000000,22.562500,18.062500,18.937500,18.937500,60358000
2000-01-24,18.625000,20.250000,16.906250,17.625000,17.625000,41708400
2000-01-31,17.625000,20.062500,17.218750,19.281250,19.281250,30109200
2000-02-07,19.281250,22.750000,19.062500,22.750000,22.750000,43761000
2000-02-14,22.406250,22.750000,20.000000,21.500000,21.500000,36892400
2000-02-21,20.125000,21.468750,19.625000,20.250000,20.250000,23355800
2000-02-28,20.156250,21.000000,18.812500,20.750000,20.750000,35156000
2000-03-06,23.000000,30.000000,23.000000,26.000000,26.000000,91910400
2000-03-13,24.156250,26.875000,23.156250,25.000000,25.000000,33749400
2000-03-20,25.468750,29.437500,25.375000,27.000000,27.000000,38684200
2000-03-27,27.000000,30.187500,25.937500,29.500000,29.500000,43297200
2000-04-03,29.625000,37.750000,25.500000,37.750000,37.750000,82060800
2000-04-10,38.375000,39.593750,31.375000,33.000000,33.000000,89527400
2000-04-17,32.625000,39.625000,32.593750,39.125000,39.125000,47047800
2000-04-24,38.625000,44.437500,38.093750,43.750000,43.750000,69481600
2000-05-01,43.500000,46.437500,42.031250,46.000000,46.000000,49803600
2000-05-08,45.000000,45.500000,38.500000,42.843750,42.843750,47693800
2000-05-15,42.625000,44.781250,41.531250,41.906250,41.906250,34919200
2000-05-22,41.531250,41.750000,33.000000,37.000000,37.000000,69921800
2000-05-29,38.937500,45.437500,38.437500,45.062500,45.062500,34027400
2000-06-05,44.875000,48.500000,42.875000,44.375000,44.375000,46986200
2000-06-12,44.937500,45.000000,40.156250,41.250000,41.250000,35165400
2000-06-19,40.500000,47.718750,40.500000,43.875000,43.875000,34409000
2000-06-26,44.500000,44.687500,37.468750,38.625000,38.625000,44104400
2000-07-03,38.500000,42.500000,36.250000,41.000000,41.000000,41767600
2000-07-10,43.125000,45.250000,40.781250,45.000000,45.000000,36236000
2000-07-17,44.593750,47.500000,40.000000,40.062500,40.062500,53833200
2000-07-24,40.500000,41.593750,34.000000,35.500000,35.500000,57601800
2000-07-31,35.937500,36.875000,29.031250,31.375000,31.375000,70783800
2000-08-07,30.250000,33.406250,27.000000,28.875000,28.875000,68597800
2000-08-14,29.562500,35.500000,28.625000,35.125000,35.125000,62548000
2000-08-21,35.375000,36.000000,33.125000,34.500000,34.500000,33307400
2000-08-28,34.625000,38.250000,33.812500,37.500000,37.500000,27901600
2000-09-04,37.000000,37.000000,31.500000,31.875000,31.875000,32191900
2000-09-11,31.562500,33.062500,27.125000,27.750000,27.750000,38835900
2000-09-18,27.500000,30.750000,23.000000,26.500000,26.500000,57596500
2000-09-25,26.750000,26.875000,23.000000,24.000000,24.000000,42291600
2000-10-02,23.937500,25.437500,21.562500,22.000000,22.000000,41772400
2000-10-09,22.750000,26.000000,21.125000,21.875000,21.875000,64365200
2000-10-16,21.812500,22.625000,16.187500,22.125000,22.125000,67129600
2000-10-23,22.187500,22.875000,18.750000,20.437500,20.437500,33498000
2000-10-30,20.375000,25.437500,20.000000,23.750000,23.750000,38963100
2000-11-06,24.437500,24.812500,19.750000,20.062500,20.062500,25741400
2000-11-13,19.312500,22.625000,19.250000,20.562500,20.562500,27925000
2000-11-20,20.250000,21.187500,19.437500,20.812500,20.812500,17170100
2000-11-27,21.437500,21.437500,14.687500,15.437500,15.437500,44042700
2000-12-04,15.875000,16.500000,14.250000,16.062500,16.062500,37901700
2000-12-11,16.250000,18.187500,15.500000,16.187500,16.187500,32605800
2000-12-18,16.000000,16.625000,13.562500,14.312500,14.312500,27904100
2000-12-25,14.625000,14.812500,13.812500,13.812500,13.812500,19334300
2001-01-01,14.125000,17.375000,14.125000,16.000000,16.000000,25947300
2001-01-08,15.937500,19.000000,15.437500,17.812500,17.812500,26860600
2001-01-15,17.812500,22.937500,16.875000,22.000000,22.000000,48847200
2001-01-22,21.625000,22.937500,20.250000,21.375000,21.375000,32589600
2001-01-29,21.700001,26.490000,21.629999,23.889999,23.889999,45959000
2001-02-05,23.639999,24.799999,22.959999,24.370001,24.370001,28087400
2001-02-12,23.350000,26.750000,23.309999,24.709999,24.709999,29035000
2001-02-19,25.000000,25.010000,20.510000,22.100000,22.100000,35387300
2001-02-26,22.100000,23.680000,19.650000,21.740000,21.740000,37377900
2001-03-05,22.150000,26.049999,22.150000,23.299999,23.299999,37026800
2001-03-12,22.750000,24.940001,22.150000,23.400000,23.400000,30454200
2001-03-19,23.500000,29.709999,21.950001,29.440001,29.440001,50397300
2001-03-26,29.500000,30.150000,26.500000,26.540001,26.540001,46787000
2001-04-02,26.700001,27.860001,20.049999,20.049999,20.049999,63117400
2001-04-09,20.299999,26.000000,18.730000,24.850000,24.850000,43956100
2001-04-16,23.850000,29.889999,22.209999,29.000000,29.000000,67301900
2001-04-23,27.799999,30.000000,26.420000,30.000000,30.000000,45499300
2001-04-30,30.750000,33.250000,29.500000,30.990000,30.990000,48695900
2001-05-07,31.000000,31.200001,27.530001,27.680000,27.680000,38943100
2001-05-14,27.680000,32.820000,27.049999,32.490002,32.490002,41471800
2001-05-21,31.950001,34.650002,30.540001,31.940001,31.940001,35060600
2001-05-28,31.910000,31.910000,27.500000,29.600000,29.600000,28870400
2001-06-04,29.549999,31.790001,27.520000,31.100000,31.100000,43835400
2001-06-11,31.100000,31.100000,26.500000,27.559999,27.559999,29282800
2001-06-18,27.500000,28.049999,23.559999,24.670000,24.670000,40358300
2001-06-25,25.950001,30.100000,24.709999,28.900000,28.900000,30080400
2001-07-02,29.049999,30.200001,20.799999,20.799999,20.799999,41523100
2001-07-09,20.870001,23.219999,20.120001,21.080000,21.080000,48306300
2001-07-16,21.100000,21.200001,16.820000,17.000000,17.000000,50696800
2001-07-23,17.650000,18.020000,15.310000,17.680000,17.680000,33814100
2001-07-30,18.500000,19.900000,17.799999,19.250000,19.250000,36755900
2001-08-06,18.490000,19.270000,15.950000,16.209999,16.209999,32386200
2001-08-13,16.580000,16.770000,14.120000,14.390000,14.390000,39042900
2001-08-20,14.220000,15.120000,14.100000,15.000000,15.000000,18717400
2001-08-27,15.100000,15.740000,13.000000,13.550000,13.550000,28619200
2001-09-03,13.170000,13.400000,11.100000,11.500000,11.500000,30229600
2001-09-10,11.500000,12.010000,11.450000,11.850000,11.850000,5168900
2001-09-17,10.250000,11.200000,8.300000,9.300000,9.300000,39529800
2001-09-24,9.750000,10.350000,7.800000,8.150000,8.150000,42525800
2001-10-01,8.300000,9.480000,7.690000,8.600000,8.600000,31893600
2001-10-08,8.330000,10.800000,8.250000,10.400000,10.400000,29409400
2001-10-15,10.300000,11.390000,9.050000,9.190000,9.190000,27673600
2001-10-22,9.220000,10.490000,9.090000,10.340000,10.340000,18515700
2001-10-29,10.030000,12.450000,9.200000,12.250000,12.250000,33815400
2001-11-05,12.460000,14.670000,12.150000,12.390000,12.390000,54087800
2001-11-12,12.400000,14.180000,11.940000,13.650000,13.650000,27835500
2001-11-19,13.670000,13.800000,12.720000,13.360000,13.360000,13509300
2001-11-26,13.400000,14.350000,12.500000,13.560000,13.560000,27215200
2001-12-03,13.500000,18.620001,13.390000,17.850000,17.850000,62576900
2001-12-10,17.500000,18.360001,16.120001,17.469999,17.469999,35374700
2001-12-17,17.200001,18.090000,15.330000,15.870000,15.870000,27365800
2001-12-24,15.950000,16.600000,15.500000,16.379999,16.379999,12521300
2001-12-31,16.490000,20.200001,15.850000,20.000000,20.000000,37446200
2002-01-07,20.450001,20.600000,18.299999,19.150000,19.150000,35890900
2002-01-14,19.180000,19.959999,16.410000,16.809999,16.809999,53573200
2002-01-21,17.180000,17.180000,15.750000,16.299999,16.299999,33166100
2002-01-28,16.350000,16.700001,14.960000,15.800000,15.800000,34992400
2002-02-04,15.800000,15.850000,13.000000,15.250000,15.250000,32157000
2002-02-11,15.010000,15.700000,14.350000,14.520000,14.520000,30899700
2002-02-18,14.500000,14.760000,12.630000,12.850000,12.850000,30487000
2002-02-25,13.200000,15.150000,13.110000,15.150000,15.150000,28260500
2002-03-04,15.070000,16.549999,14.400000,16.209999,16.209999,36276600
2002-03-11,16.209999,17.280001,14.290000,14.600000,14.600000,29739700
2002-03-18,14.900000,15.090000,14.030000,14.760000,14.760000,22148300
2002-03-25,14.650000,14.910000,14.000000,14.710000,14.710000,13376100
2002-04-01,14.610000,14.850000,13.290000,13.500000,13.500000,19542400
2002-04-08,13.010000,13.990000,12.750000,13.150000,13.150000,22986800
2002-04-15,13.250000,15.300000,12.110000,12.160000,12.160000,46992000
2002-04-22,12.100000,12.250000,11.010000,11.200000,11.200000,35439700
2002-04-29,11.340000,11.750000,10.950000,11.050000,11.050000,24067700
2002-05-06,11.020000,11.740000,10.400000,11.040000,11.040000,32243000
2002-05-13,11.300000,12.950000,11.110000,12.200000,12.200000,27045000
2002-05-20,12.200000,12.440000,11.460000,11.650000,11.650000,15347300
2002-05-27,11.950000,11.950000,11.130000,11.430000,11.430000,10607600
2002-06-03,11.400000,11.410000,9.040000,9.810000,9.810000,28733600
2002-06-10,9.900000,10.150000,9.150000,9.600000,9.600000,20353700
2002-06-17,9.900000,11.180000,7.990000,8.040000,8.040000,52950400
2002-06-24,8.000000,9.720000,7.950000,9.720000,9.720000,35441200
2002-07-01,9.600000,9.700000,7.820000,9.340000,9.340000,23935300
2002-07-08,9.340000,9.600000,8.850000,9.100000,9.100000,25062700
2002-07-15,9.100000,10.300000,8.340000,8.490000,8.490000,31282300
2002-07-22,8.590000,8.900000,7.460000,7.820000,7.820000,21216100
2002-07-29,8.120000,8.510000,7.010000,7.310000,7.310000,21058800
2002-08-05,7.730000,9.020000,7.450000,8.830000,8.830000,28933700
2002-08-12,8.680000,9.950000,8.380000,9.930000,9.930000,19997400
2002-08-19,9.930000,10.880000,9.450000,9.670000,9.670000,29700400
2002-08-26,9.700000,9.800000,8.510000,8.850000,8.850000,20727700
2002-09-02,8.600000,8.690000,7.830000,8.040000,8.040000,21141500
